id,algorithm,interswap,seed,model,p,num_modes,theta,rho,bf,filename,t1,tf,num_temp,gibbs_step,tot_sim,burn_in,iterations,total_swap,direction,comments,Servers comments,count swaps,comments,other comments
115,PT_A_IIT,300,115,multimodal,1000,5,0.1,-2.5,min,,50,,5,,4,10000,,300,-1,until reaching temperature 20,Running in Probability,,,
116,PT_A_IIT,300,116,multimodal,1000,2,0.1,-2.5,min,,50,,5,,4,10000,,300,-1,until reaching temperature 20,Running in Probability,,,
117,PT_A_IIT,300,117,multimodal,1000,2,0.1,-2.5,min,,50,,3,,3,10000,,300,-1,,Just to test DONE,,,
118,PT_A_IIT,300,118,multimodal,1000,2,0.1,-2.5,sq,,50,,3,,3,10000,,300,-1,,Just to test DONE,,,
119,PT_IIT_Z,100,119,multimodal,1000,7,0.1,-2.5,min,,50,,5,,4,2000,13000,,-1,until reaching temperature 20,Running in Probability,,,
120,PT_IIT_Z,100,120,multimodal,1000,5,0.1,-2.5,min,,50,,5,,4,2000,13000,,-1,until reaching temperature 20,Running in Probability,,,
121,PT_IIT_Z,100,121,multimodal,1000,2,0.1,-2.5,min,,50,,5,,4,2000,13000,,-1,until reaching temperature 20,Running in Probability,,,
122,PT_IIT_Z,100,122,multimodal,1000,7,0.1,-2.5,min,,17.3289041505637,,5,,4,2000,13000,,-1,until reaching temperature 20,Running in Probability,,,
123,PT_A_IIT,300,123,multimodal,3000,7,0.1,-2.5,sq,,50,,5,,4,10000,,300,-1,until reaching temp 15,"Running in Fir Job Id 5596216, 5659065",,,
124,PT_IIT_Z,100,124,multimodal,3000,7,0.1,-2.5,sq,,50,,5,,4,2000,13000,,-1,until reaching temp 15,"Running in Fir Job Id 5596216, 5659065",,,
125,PT_A_IIT,300,125,multimodal,3000,7,0.1,-2.5,min,,50,,5,,4,10000,,300,-1,until reaching temp 15,"Running in Fir Job Id 5596216, 5659065",,,
126,PT_IIT_Z,100,126,multimodal,3000,7,0.1,-2.5,min,,50,,5,,4,2000,13000,,-1,until reaching temp 15,"Running in Fir Job Id 5596216, 5659065",,,
127,PT_A_IIT,300,127,multimodal,5000,7,0.1,-2.5,sq,,50,,5,,4,10000,,300,-1,,"Running in Fir Job Id 5596219, 5659067",,,
128,PT_IIT_Z,100,128,multimodal,5000,7,0.1,-2.5,sq,,50,,5,,4,2000,13000,,-1,,"Running in Fir Job Id 5596219, 5659067",,,
129,PT_A_IIT,300,129,multimodal,5000,7,0.1,-2.5,min,,50,,5,,4,10000,,300,-1,,"Running in Fir Job Id 5596219, 5659067",,,
130,PT_IIT_Z,100,130,multimodal,5000,7,0.1,-2.5,min,,50,,5,,4,2000,13000,,-1,,"Running in Fir Job Id 5596219, 5659067",,,
131,PT_A_IIT,300,131,multimodal,7000,7,0.1,-2.5,sq,,50,,5,,4,10000,,300,-1,,"Running in Fir Job Id 5596219, 5659067",,,
132,PT_IIT_Z,100,132,multimodal,7000,7,0.1,-2.5,sq,,50,,5,,4,2000,13000,,-1,,"Running in Fir Job Id 5596219, 5659067",,,
133,PT_A_IIT,300,133,multimodal,7000,7,0.1,-2.5,min,,50,,5,,4,10000,,300,-1,,"Running in Fir Job Id 5596219, 5659067",,Didnt get an export (not a single temp found),
134,PT_IIT_Z,100,134,multimodal,7000,7,0.1,-2.5,min,,50,,5,,4,2000,13000,,-1,,"Running in Fir Job Id 5596219, 5659067",,,
135,PT_A_IIT,300,135,multimodal,10000,7,0.1,-2.5,sq,,50,,5,,4,10000,,300,-1,,"Running in Fir Job Id 5596219, 5659067",,Didnt get an export (not a single temp found),
136,PT_IIT_Z,100,136,multimodal,10000,7,0.1,-2.5,sq,,50,,5,,4,2000,13000,,-1,,"Running in Fir Job Id 5596219, 5659067",,,
137,PT_A_IIT,300,137,multimodal,10000,7,0.1,-2.5,min,,50,,5,,4,10000,,300,-1,,"Running in Fir Job Id 5596219, 5659067",,Didnt get an export (not a single temp found),
138,PT_IIT_Z,100,138,multimodal,10000,7,0.1,-2.5,min,,50,,5,,4,2000,13000,,-1,,"Running in Fir Job Id 5596219, 5659067",,,
139,PT_A_IIT,300,139,multimodal,3000,7,0.001,-3,sq,,5000,,4,,4,10000,,300,-1,until reaching temp 1k,Running in Fir Job Id 5717428,,,
140,PT_IIT_Z,100,140,multimodal,3000,7,0.001,-3,sq,,5000,,4,,4,2000,13000,,-1,until reaching temp 1k,Running in Fir Job Id 5717428,,,
141,PT_A_IIT,300,141,multimodal,3000,7,0.001,-3,min,,5000,,4,,4,10000,,300,-1,until reaching temp 1k,Running in Fir Job Id 5717428,,,
142,PT_IIT_Z,100,142,multimodal,3000,7,0.001,-3,min,,5000,,4,,4,2000,13000,,-1,until reaching temp 1k,Running in Fir Job Id 5717428,,,
143,PT_A_IIT,300,143,multimodal,5000,7,0.001,-3,sq,,5000,,4,,4,10000,,300,-1,,Running in Fir Job Id 5717428,,,
144,PT_IIT_Z,100,144,multimodal,5000,7,0.001,-3,sq,,5000,,4,,4,2000,13000,,-1,,Running in Fir Job Id 5717428,,,
145,PT_A_IIT,300,145,multimodal,5000,7,0.001,-3,min,,5000,,4,,4,10000,,300,-1,,Running in Fir Job Id 5717428,,,
146,PT_IIT_Z,100,146,multimodal,5000,7,0.001,-3,min,,5000,,4,,4,2000,13000,,-1,,Running in Fir Job Id 5717428,,,
147,PT_A_IIT,300,147,multimodal,7000,7,0.001,-3,sq,,5000,,4,,4,10000,,300,-1,,Running in Fir Job Id 5717430,,,
148,PT_IIT_Z,100,148,multimodal,7000,7,0.001,-3,sq,,5000,,4,,4,2000,13000,,-1,,Running in Fir Job Id 5717430,,,
149,PT_A_IIT,300,149,multimodal,7000,7,0.001,-3,min,,5000,,4,,4,10000,,300,-1,,Running in Fir Job Id 5717430,,,
150,PT_IIT_Z,100,150,multimodal,7000,7,0.001,-3,min,,5000,,4,,4,2000,13000,,-1,,Running in Fir Job Id 5717430,,,
151,PT_A_IIT,300,151,multimodal,10000,7,0.001,-3,sq,,5000,,4,,4,10000,,300,-1,,Running in Fir Job Id 5717431 (Also in prob),,,
152,PT_IIT_Z,100,152,multimodal,10000,7,0.001,-3,sq,,5000,,4,,4,2000,13000,,-1,,Running in Fir Job Id 5717431 (Also in prob),,,
153,PT_A_IIT,300,153,multimodal,10000,7,0.001,-3,min,,5000,,4,,4,10000,,300,-1,,Running in Fir Job Id 5717431 (Also in prob),,,
154,PT_IIT_Z,100,154,multimodal,10000,7,0.001,-3,min,,5000,,4,,4,2000,13000,,-1,,Running in Fir Job Id 5717431 (Also in prob),,,
155,PT_A_IIT,300,155,multimodal,1000,7,0.001,-3,sq,,5000,,4,,4,10000,,300,-1,,Runing in Fir Job Id 6266933,,,
156,PT_IIT_Z,100,156,multimodal,1000,7,0.001,-3,sq,,5000,,4,,4,2000,13000,,-1,,Runing in Fir Job Id 6266933,,,
157,PT_A_IIT,300,157,multimodal,1000,7,0.001,-3,min,,5000,,4,,4,10000,,300,-1,,Runing in Fir Job Id 6266933,,,
158,PT_IIT_Z,100,158,multimodal,1000,7,0.001,-3,min,,5000,,4,,4,2000,13000,,-1,,Runing in Fir Job Id 6266933,,,
159,PT_IIT_Z,100,159,multimodal,3000,7,0.001,-3,sq,,632,,4,,4,2000,13000,,-1,Sim 140,Runing in Fir Job Id 6266933,,,
160,PT_A_IIT,300,160,multimodal,3000,7,0.001,-3,min,,3454,,4,,4,10000,,300,-1,Sim 141,Runing in Fir Job Id 6266933,,,
161,PT_IIT_Z,100,161,multimodal,3000,7,0.001,-3,min,,530,,4,,4,2000,13000,,-1,Sim 142,Runing in Fir Job Id 6266933,,,
